index;uKL30V;EPB_L;EPB_R;AIN2_MON_VAC_SUP;AIN3;AIN4;AIN5;
169;15.986001;0.373254;0.291044;2.433105;0.000000;0.000000;2.413769;
170;15.986001;0.340008;0.333576;0.012891;2.404101;2.404101;0.022559;
171;15.986001;0.392251;0.265052;0.012891;2.394433;2.407324;0.003223;
172;15.986001;0.285389;0.371382;2.445996;0.012891;0.000000;2.410547;
173;15.986001;0.397001;0.288681;2.433105;0.025781;0.000000;2.410547;
174;15.986001;0.439745;0.328850;0.000000;2.420215;2.429883;0.012891;
175;15.986001;0.401750;0.338302;0.003223;2.394433;2.413769;0.022559;
176;15.986001;0.340008;0.350116;2.433105;0.003223;0.000000;2.413769;
177;15.986001;0.271141;0.328850;2.436328;0.003223;0.000000;2.410547;
178;15.986001;0.280640;0.257964;0.025781;2.410547;2.416992;0.000000;
179;15.986001;0.304387;0.333576;0.003223;2.420215;2.423437;0.003223;
180;15.986001;0.437371;0.231972;2.426660;0.009668;0.000000;2.423437;
181;15.986001;0.387502;0.319399;2.420215;0.000000;0.000000;2.433105;
182;15.986001;0.382753;0.319399;0.003223;2.397656;2.410547;0.009668;
183;15.986001;0.361380;0.302858;0.022559;2.407324;2.413769;0.000000;
184;15.986001;0.397001;0.338302;2.436328;0.009668;0.000000;2.404101;
185;15.986001;0.342382;0.345390;2.442773;0.012891;0.000000;2.410547;
186;15.986001;0.389877;0.291044;0.012891;2.407324;2.433105;0.000000;
187;15.986001;0.387502;0.326487;0.012891;2.391211;2.429883;0.016113;
188;15.986001;0.361380;0.229609;2.426660;0.006445;0.000000;2.423437;
189;15.986001;0.385127;0.298133;2.426660;0.003223;0.000000;2.423437;
190;15.986001;0.340008;0.345390;0.012891;2.391211;2.404101;0.006445;
191;15.986001;0.425497;0.380833;0.022559;2.413769;2.420215;0.003223;
192;15.986001;0.328134;0.324124;2.433105;0.029004;0.000000;2.404101;
193;15.986001;0.347132;0.241424;2.413769;0.012891;0.000000;2.410547;
194;15.986001;0.256893;0.319399;0.000000;2.400879;2.416992;0.025781;
195;15.986001;0.375628;0.205980;0.012891;2.404101;2.416992;0.009668;
196;15.986001;0.328134;0.276867;2.445996;0.009668;0.000000;2.413769;
197;15.984001;0.394626;0.241424;2.436328;0.009668;0.000000;2.407324;
198;15.984001;0.359005;0.307584;0.003223;2.420215;2.423437;0.006445;
199;15.986001;0.373254;0.338302;0.009668;2.404101;2.423437;0.012891;
200;15.986001;0.387502;0.340664;2.423437;0.009668;0.000000;2.433105;
201;15.986001;0.363755;0.300496;2.423437;0.000000;0.000000;2.413769;
202;15.986001;0.430247;0.265052;0.019336;2.397656;2.410547;0.000000;
203;15.986001;0.397001;0.328850;0.016113;2.407324;2.413769;0.000000;
204;15.986001;0.342382;0.444631;2.445996;0.019336;0.000000;2.413769;
205;15.986001;0.351881;0.291044;2.429883;0.009668;0.009668;2.410547;
206;15.986001;0.404125;0.307584;0.009668;2.391211;2.433105;0.016113;
207;15.986001;0.328134;0.307584;0.003223;2.394433;2.413769;0.012891;
208;15.986001;0.356631;0.317036;2.429883;0.006445;0.000000;2.426660;
209;15.986001;0.359005;0.361930;2.433105;0.003223;0.000000;2.410547;
210;15.986001;0.363755;0.243786;0.022559;2.407324;2.420215;0.000000;
211;15.986001;0.389877;0.404462;0.012891;2.416992;2.416992;0.000000;
212;15.986001;0.480116;0.350116;2.413769;0.022559;0.003223;2.413769;
213;15.986001;0.368504;0.383196;2.426660;0.003223;0.000000;2.433105;
214;15.986001;0.323385;0.187077;0.019336;2.397656;2.410547;0.006445;
215;15.986001;0.344757;0.335939;0.029004;2.410547;2.413769;0.003223;
216;15.986001;0.335258;0.144546;2.429883;0.019336;0.000000;2.416992;
217;15.986001;0.458743;0.333576;2.416992;0.016113;0.000000;2.420215;
218;15.986001;0.349507;0.276867;0.006445;2.400879;2.423437;0.029004;
219;15.986001;0.349507;0.456446;0.012891;2.400879;2.397656;0.019336;
220;15.986001;0.387502;0.399736;2.439551;0.000000;0.000000;2.407324;
221;15.986001;0.427872;0.227246;2.436328;0.009668;0.000000;2.407324;
222;15.986001;0.299638;0.340664;0.012891;2.420215;2.420215;0.003223;
223;15.986001;0.370879;0.262690;0.012891;2.407324;2.423437;0.009668;
224;15.986001;0.363755;0.324124;2.423437;0.006445;0.000000;2.429883;
225;15.986001;0.285389;0.423365;2.429883;0.000000;0.000000;2.413769;
226;15.986001;0.366130;0.276867;0.016113;2.404101;2.416992;0.000000;
227;15.986001;0.368504;0.319399;0.019336;2.407324;2.413769;0.003223;
228;15.986001;0.370879;0.350116;2.442773;0.016113;0.000000;2.407324;
229;15.986001;0.375628;0.373745;2.429883;0.006445;0.006445;2.413769;
230;15.986001;0.382753;0.291044;0.006445;2.391211;2.433105;0.019336;
231;15.986001;0.361380;0.286318;0.006445;2.394433;2.413769;0.012891;
232;15.986001;0.330509;0.220158;2.436328;0.012891;0.000000;2.410547;
233;15.986001;0.437371;0.347753;2.442773;0.012891;0.000000;2.404101;
234;15.986001;0.347132;0.312310;0.022559;2.410547;2.420215;0.009668;
